Name,Title,Id,Listing URL,Price,Qualifier,City,Beds,Baths,Bedrooms,Average Rating,Number of Reviews,Cleaning Fee,Airbnb Service Fee,Total Charged for Stay,Early Bird Discount,Can Instant Book,Cleanliness Rating,Original Price,Discounted Price,Accessibility Label,Main Message,Listing Type,Room Type Category,Latitude,Longitude,Locale,More Details,Date Scraped,Total Nights (Search Input),Check-in Date (Search Input),Check-out Date (Search Input),# of Adults (Search Input),Search Query,Subtitle,Guests (Premium Data),Data as Of (Premium Data),Data Start Date (for 30 Day Intervals) (Premium Data),% Booked 1st 30 Days (Premium Data),% Booked Days 31-60 (Premium Data),% Booked Days 61-90 (Premium Data),Data Start Date (for Months) (Premium Data),Month 1 (Premium Data),% Booked in Month 1 (Premium Data),Month 2 (Premium Data),% Booked in Month 2 (Premium Data),Month 3 (Premium Data),% Booked in Month 3 (Premium Data),Data Start Date (for Reviews) (Premium Data),Past Year's # of Reviews (Premium Data)
"In a Chelsea loft:  A PERFECT private room & bath","Room in New York","15141938","https://www.airbnb.com/rooms/15141938","$256","per night","","1","1","1","4.99","423","","","","","No","","","","$256 per night","","REGULAR","private_room",40.7445,-73.99397,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Eccentric and Comfy East Village Room","Room in New York","51023350","https://www.airbnb.com/rooms/51023350","$176","per night","","1","","1","4.94","116","","","","","No","","","","$176 per night","","REGULAR","private_room",40.72237,-73.97643,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Private 1-bedroom Apartment in the Lombardy","Apartment in New York","23222680","https://www.airbnb.com/rooms/23222680","$278","per night","","1","1","1","4.94","228","","","","","No","","","","$278 per night","1 king bed","REGULAR","entire_home",40.76188,-73.97085,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Manhattan/Time Sq.","Place to stay in New York, NY","4559096","https://www.airbnb.com/rooms/4559096","$150","per night","","1","1","1","4.97","352","","","","","No","","","","$150 per night","1 queen bed","REGULAR","private_room",40.75973311047763,-73.99572709707883,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Central Upper West Side Room","Room in New York","993759176942173865","https://www.airbnb.com/rooms/993759176942173865","$172","per night","","1","","1","5","19","","","","","No","","","","$172 per night","","REGULAR","private_room",40.7997631,-73.9696417,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Boerum Hill Queen BR in a Classic NYC Brownstone","Room in Brooklyn","28334760","https://www.airbnb.com/rooms/28334760","$150","per night","","1","1","1","4.99","194","","","","","No","","","","$150 per night","","REGULAR","private_room",40.6863876,-73.985789,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Sunny 1 Bdrm Apt, Subway 1.5 Blocks","Apartment in New York","990420260648778710","https://www.airbnb.com/rooms/990420260648778710","$305","per night","","2","1","1","5","15","","","","","No","4.8","","","$305 per night","2 beds","REGULAR","entire_home",40.72292490835024,-73.9885141758452,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Serene in Brooklyn","Guest suite in Brooklyn","22452278","https://www.airbnb.com/rooms/22452278","$228","per night","","1","1","1","4.96","332","","","","","No","","","","$228 per night","1 queen bed","REGULAR","entire_home",40.683730749391835,-73.99494233328178,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Newly Built 1 Bedroom Modern Oasis in Forest Hills","Guest suite in New York City","50678248","https://www.airbnb.com/rooms/50678248","$152","per night","","1","1","1","4.95","211","","","","","No","","","","$152 per night","1 king bed","REGULAR","entire_home",40.72573,-73.83802,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Private suite in Carroll Gardens","Room in Brooklyn","13674799","https://www.airbnb.com/rooms/13674799","$119","per night","","1","1","1","4.96","491","","","","","No","","","","$119 per night","","REGULAR","private_room",40.67796,-73.99871,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
